address,num_room,district,age,sa,sap,gfa,gfap,price,monthly,convenience,efficiency,region
Discovery Park・Phase 2・Block 8,3,Discovery Park,26,659,11805,835,9317,7.78,26394,9,78,NT West
TSEUNG KWAN O PLAZA・PHASE 1・TOWER 3A,2,Tseung Kwan O,21,456,13596,622,9967,6.2,21034,5,73,NT East
SHUN FUNG BUILDING,2,Yuen Long Town Centre,36,401,11172,514,8715,4.48,15199,8,78,NT East
YOHO TOWN・Phase 1・BLOCK 6,2,Yuen Long Station,20,411,12652,552,9420,5.2,17641,10,74,NT East
VISALIA GARDEN,4,Mid-Levels Central,38,1848,30032,2195,25284,55.5,134490,4,84,HK Island
LUK YEUNG SUN CHUEN・BLOCK C,3,Luk Yeung,40,582,11683,671,10134,6.8,23069,4,86,NT West
DISCOVERY PARK・PHASE 1・BLOCK 4,2,Discovery Park,27,474,7489,593,5986,3.55,12044,1,79,NT West
FICUS GARDEN,2,Fo Tan,33,643,12441,744,10752,8.0,27140,4,86,NT East
KINGSWOOD VILLAS・PHASE 1 LOCWOOD COURT・BLOCK 8,3,Tin Shui Wai,32,633,8688,814,6756,5.5,18659,6,77,NT West
NEW KWAI FONG GARDENS・BLOCK D,2,Ha Kwai Chung,41,415,12722,526,10038,5.28,17913,2,78,NT East
TELFORD GARDENS・BLOCK U,2,Kowloon Bay,42,494,10020,571,8669,4.95,16793,2,86,Kowloon
The Latitude・TOWER 8,2,San Po Kong,13,525,18095,680,13970,9.5,32229,1,77,Kowloon
KINGSWOOD VILLAS・PHASE 1 LOCWOOD COURT・BLOCK 6,3,Tin Shui Wai,32,551,8620,708,6709,4.75,16115,6,77,NT West
SCENEWAY GARDEN・BLOCK 8,3,Lam Tin,32,612,12254,785,9554,7.5,25444,1,77,NT West
Whampoa Garden・Phase 7 Cotton Tree Mansions・Block 5,4,Whampoa,35,962,14033,1107,12195,13.5,45799,2,86,Kowloon
WHAMPOA GARDEN・PHASE 2 CHERRY MANSIONS・BLOCK 15,2,Whampoa,37,389,13881,469,11513,5.4,18320,3,82,Kowloon
Vision City・BLOCK 2,4,Tsuen Wan West,17,1280,18750,1683,14260,24.0,69790,10,76,NT West
CARIBBEAN COAST・PHASE 2 ALBANY COVE・TOWER 6,2,Tung Chung Town Centre,19,729,10013,986,7403,7.3,24766,3,73,NT West
Oceanaire・Tower 6A,3,Ma On Shan,13,694,11383,914,8643,7.9,26801,8,75,NT East
CARIBBEAN COAST・PHASE 3 CARMEL COVE・TOWER 9,2,Tung Chung Town Centre,19,565,10407,749,7850,5.88,19948,4,75,NT West
LAGUNA VERDE・Phase 1 Green Wood・TOWER 4,3,Laguna,26,833,14021,1034,11295,11.68,39625,7,80,NT West
Discovery Park・Phase 3・Block 10,3,Discovery Park,26,581,11703,723,9405,6.8,23069,6,80,NT West
OCEAN SHORES・PHASE 1・TOWER 3,1,Tiu Keng Leng,23,398,16331,539,12059,6.5,22052,10,73,NT East
Seaview Crescent・Block 2,2,Tung Chung Town Centre,22,506,11067,687,8151,5.6,18998,10,73,NT West
TIN SHING COURT・SHING YI HOUSE (BLOCK C),1,Tin Shui Wai,24,433,8545,580,6379,3.7,12552,4,74,NT West
Vianni Cove・TOWER 2,2,Tin Shui Wai,20,544,10845,724,8149,5.9,20016,9,75,NT West
TIN CHUNG COURT・CHUNG HO HOUSE (BLOCK L),2,Tin Shui Wai,24,506,6521,665,4962,3.3,11195,3,76,NT West
YOHO TOWN・Phase 2 Yoho Midtown・BLOCK M6,3,Yuen Long Station,14,685,18686,890,14382,12.8,43425,5,76,NT East
Tin Shing Court・SHING CHIU HOUSE (BLOCK B),3,Tin Shui Wai,24,646,6625,866,4942,4.28,14520,4,74,NT West
YEE FUNG BUILDING,2,Yuen Long Town Centre,35,343,10204,496,7056,3.5,11874,8,69,NT East
LAGUNA VERDE・PHASE 2 VILLA VERDE・TOWER 7,2,Laguna,24,618,16165,773,12923,9.99,33892,8,79,NT West
Laguna City・Phase 2・Block 29,3,Lam Tin,33,748,10962,932,8798,8.2,27819,8,80,NT West
GALAXIA・TOWER B,2,Diamond Hill,26,593,14502,751,11451,8.6,29176,1,78,Kowloon
LUNG POON COURT・LUNG SAN HOUSE (BLOCK A),2,Diamond Hill,37,426,11971,579,8808,5.1,17302,3,73,Kowloon
CENTRAL PARK TOWERS・PHASE 2 CENTRAL PARK TOWERS II・TOWER 9,3,Tin Shui Wai,14,712,9662,945,7280,6.88,23341,3,75,NT West
CENTURY GATEWAY・Phase 1・TOWER 2,2,Tuen Mun Town Centre,11,498,11244,635,8818,5.6,18998,4,78,NT West
TUEN MUN TOWN PLAZA・PHASE 2・BLOCK 2,2,Tuen Mun Town Centre,35,326,8588,448,6250,2.8,9499,7,72,NT West
CENTURY GATEWAY・Phase 1・TOWER 1,3,Tuen Mun Town Centre,11,718,12534,923,9750,9.0,30533,4,77,NT West
CENTURY GATEWAY・Phase 1・TOWER 5,1,Tuen Mun Town Centre,11,374,13368,478,10460,5.0,16963,4,78,NT West
CENTURY GATEWAY・Phase 1・TOWER 1,2,Tuen Mun Town Centre,11,487,11498,635,8818,5.6,18998,4,76,NT West
TUEN MUN TOWN PLAZA・PHASE 2・BLOCK 2,2,Tuen Mun Town Centre,35,325,8861,448,6428,2.88,9771,7,72,NT West
CHELSEA HEIGHTS・Phase 2・BLOCK 6,2,Tuen Mun North,23,525,9142,680,7058,4.8,16284,10,77,NT West
Beneville・BLOCK 5,2,Siu Hong,20,428,9532,578,7058,4.08,13842,1,74,HK Island
Tuen Mun Town Plaza・PHASE 1・Block 3,2,Tuen Mun Town Centre,36,393,8396,549,6010,3.3,11195,10,71,NT West
